"0","cat(head(round(wages), n = 120))"
"1","15"
"1"," "
"1","53"
"1"," "
"1","23"
"1"," "
"1","37"
"1"," "
"1","31"
"1"," "
"1","14"
"1"," "
"1","13"
"1"," "
"1","38"
"1"," "
"1","28"
"1"," "
"1","27"
"1"," "
"1","18"
"1"," "
"1","12"
"1"," "
"1","13"
"1"," "
"1","12"
"1"," "
"1","28"
"1"," "
"1","37"
"1"," "
"1","14"
"1"," "
"1","23"
"1"," "
"1","12"
"1"," "
"1","52"
"1"," "
"1","18"
"1"," "
"1","49"
"1"," "
"1","38"
"1"," "
"1","40"
"1"," "
"1","26"
"1"," "
"1","24"
"1"," "
"1","55"
"1"," "
"1","20"
"1"," "
"1","35"
"1"," "
"1","32"
"1"," "
"1","15"
"1"," "
"1","35"
"1"," "
"1","18"
"1"," "
"1","27"
"1"," "
"1","17"
"1"," "
"1","14"
"1"," "
"1","16"
"1"," "
"1","26"
"1"," "
"1","48"
"1"," "
"1","12"
"1"," "
"1","13"
"1"," "
"1","27"
"1"," "
"1","8"
"1"," "
"1","20"
"1"," "
"1","27"
"1"," "
"1","23"
"1"," "
"1","23"
"1"," "
"1","41"
"1"," "
"1","30"
"1"," "
"1","36"
"1"," "
"1","43"
"1"," "
"1","32"
"1"," "
"1","53"
"1"," "
"1","40"
"1"," "
"1","41"
"1"," "
"1","26"
"1"," "
"1","38"
"1"," "
"1","58"
"1"," "
"1","17"
"1"," "
"1","16"
"1"," "
"1","36"
"1"," "
"1","49"
"1"," "
"1","20"
"1"," "
"1","50"
"1"," "
"1","55"
"1"," "
"1","82"
"1"," "
"1","28"
"1"," "
"1","45"
"1"," "
"1","13"
"1"," "
"1","55"
"1"," "
"1","23"
"1"," "
"1","27"
"1"," "
"1","9"
"1"," "
"1","14"
"1"," "
"1","17"
"1"," "
"1","51"
"1"," "
"1","40"
"1"," "
"1","54"
"1"," "
"1","46"
"1"," "
"1","20"
"1"," "
"1","32"
"1"," "
"1","31"
"1"," "
"1","46"
"1"," "
"1","9"
"1"," "
"1","12"
"1"," "
"1","15"
"1"," "
"1","24"
"1"," "
"1","16"
"1"," "
"1","54"
"1"," "
"1","22"
"1"," "
"1","13"
"1"," "
"1","29"
"1"," "
"1","24"
"1"," "
"1","35"
"1"," "
"1","38"
"1"," "
"1","24"
"1"," "
"1","27"
"1"," "
"1","18"
"1"," "
"1","14"
"1"," "
"1","35"
"1"," "
"1","38"
"1"," "
"1","18"
"1"," "
"1","38"
"1"," "
"1","37"
"1"," "
"1","29"
"1"," "
"1","41"
"1"," "
"1","21"
"1"," "
"1","40"
"1"," "
"1","16"
"1"," "
"1","57"
"1"," "
"1","40"
"1"," "
"1","59"
"1"," "
"1","19"
"1"," "
"1","19"
"1"," "
"1","16"
"1"," "
"1","20"
"1"," "
"1","58"
"1"," "
"1","23"
"1"," "
"1","34"
"1"," "
"1","34"
"0","datatable(wages_df, rownames = FALSE)"
